region,vehicle,model,classification,group_name,name,partnumber,url
Middle East,OUTLANDER(G.EXP),GF2W,XTMGL,11 ENGINE,11-010 ENGINE ASSY,01015A,http://catcar.info/mitsubishi/?lang=en&l=bWFya2V0PT1nZW5lcmFsfHxzdD09NzB8fHN0cz09eyIxMCI6IlJlZ2lvbiIsIjIwIjoiTWlkZGxlIEVhc3QiLCIzMCI6Ik9VVExBTkRFUihHLkVYUCkiLCI0MCI6IkdGMlciLCI1MCI6IlhUTUdMIiwiNjAiOiIxMSBFTkdJTkUiLCI3MCI6IjExLTAxMCBFTkdJTkUgQVNTWSJ9fHxDYXRhbG9nTm89PUI4MEFCNTA3QXx8Q2F0U3RhcnREYXRlPT0yMDEyMTExfHxDYXRFbmREYXRlPT0yMDA4MTIzfHxNb2RlbD09R0YyV3x8Y2M9PVhUTUdMfHxNYWluR3JvdXA9PTExfHxTdWJHcm91cD09MDEwfHxwYWdlNzA9PTA%3D
Middle East,OUTLANDER(G.EXP),CW5W,XTSHZLW,11 ENGINE,11-320 OIL PRESS SWITCH OR GAUGE UNIT,04226,https://www.catcar.info/mitsubishi/?lang=en&l=bWFya2V0PT1nZW5lcmFsfHxzdD09NzB8fHN0cz09eyIxMCI6IlJlZ2lvbiIsIjIwIjoiTWlkZGxlIEVhc3QiLCIzMCI6Ik9VVExBTkRFUihHLkVYUCkiLCI0MCI6IkNXNVciLCI1MCI6IlhUU0haTFciLCI2MCI6IjExIEVOR0lORSIsIjcwIjoiMTEtMzIwIE9JTCBQUkVTUyBTV0lUQ0ggT1IgR0FVR0UgVU5JVCJ9fHxDYXRhbG9nTm89PUI4MDZXNTAzQXx8Q2F0U3RhcnREYXRlPT0yMDA1MTIxfHxNb2RlbD09Q1c1V3x8Q2F0RW5kRGF0ZT09MjAxMzA0M3x8Y2M9PVhUU0haTFd8fE1haW5Hcm91cD09MTF8fFN1Ykdyb3VwPT0zMjB8fHBhZ2U3MD09MA%3D%3
Middle East,AIRTREK/OUTLANDER(G.EXP),CU2W,LRLER1D,11 ENGINE,11-010 ENGINE ASSY,01000A,http://catcar.info/mitsubishi/?lang=en&l=bWFya2V0PT1nZW5lcmFsfHxzdD09NzB8fHN0cz09eyIxMCI6IlJlZ2lvbiIsIjIwIjoiTWlkZGxlIEVhc3QiLCIzMCI6IkFJUlRSRUtcL09VVExBTkRFUihHLkVYUCkiLCI0MCI6IkNVMlciLCI1MCI6IkxSTEVSMUQiLCI2MCI6IjExIEVOR0lORSIsIjcwIjoiMTEtMDEwIEVOR0lORSBBU1NZIn18fENhdGFsb2dObz09QjgwNlI1MDdBfHxDYXRTdGFydERhdGU9PTIwMDExMTF8fENhdEVuZERhdGU9PTIwMDgxMjN8fE1vZGVsPT1DVTJXfHxjYz09TFJMRVIxRHx8TWFpbkdyb3VwPT0xMXx8U3ViR3JvdXA9PTAxMHx8cGFnZTcwPT0w
Middle East,AIRTREK/OUTLANDER(G.EXP),CU4W,XRHEL1Q,11 ENGINE,11-010 ENGINE ASSY,01000A,http://catcar.info/mitsubishi/?lang=en&l=bWFya2V0PT1nZW5lcmFsfHxzdD09NzB8fHN0cz09eyIxMCI6IlJlZ2lvbiIsIjIwIjoiTWlkZGxlIEVhc3QiLCIzMCI6IkFJUlRSRUtcL09VVExBTkRFUihHLkVYUCkiLCI0MCI6IkNVNFciLCI1MCI6IlhSSEVMMVEiLCI2MCI6IjExIEVOR0lORSIsIjcwIjoiMTEtMDEwIEVOR0lORSBBU1NZIn18fENhdGFsb2dObz09QjgwNlI1MDdBfHxDYXRTdGFydERhdGU9PTIwMDExMTF8fE1vZGVsPT1DVTRXfHxjYz09WFJIRUwxUXx8TWFpbkdyb3VwPT0xMXx8U3ViR3JvdXA9PTAxMHx8cGFnZTcwPT0wfHxDYXRFbmREYXRlPT0yMDA4MTIz
Middle East,OUTLANDER(BRAZIL),GF2W,XTSHL1FB,11 ENGINE,11-010 ENGINE ASSY,01015A,http://catcar.info/mitsubishi/?lang=en&l=bWFya2V0PT1nZW5lcmFsfHxzdD09NzB8fHN0cz09eyIxMCI6IlJlZ2lvbiIsIjIwIjoiTWlkZGxlIEVhc3QiLCIzMCI6Ik9VVExBTkRFUihCUkFaSUwpIiwiNDAiOiJHRjJXIiwiNTAiOiJYVFNITDFGQiIsIjYwIjoiMTEgRU5HSU5FIiwiNzAiOiIxMS0wMTAgRU5HSU5FIEFTU1kifXx8Q2F0YWxvZ05vPT1CTkJBQjUwN0F8fENhdFN0YXJ0RGF0ZT09MjAxMjA3MXx8TW9kZWw9PUdGMld8fGNjPT1YVFNITDFGQnx8TWFpbkdyb3VwPT0xMXx8U3ViR3JvdXA9PTAxMHx8cGFnZTcwPT0w
