site,lat,lng,zip,name,address,phone,email,web
"LovelyPubs","","","B93 0BN","The Orange Tree","Warwick Road, Solihull, B93 0BN, United Kingdom","","",""
"LovelyPubs","","","B94 6JU","The Boot","Old Warwick Road, Solihull, B94 6JU, United Kingdom","","",""
"LovelyPubs","","","B90 1UB","Mortons","Main Street, Solihull, B90 1UB, United Kingdom","","",""
"LovelyPubs","","","B90 4EH","The Farm","Farmhouse Way, Solihull, B90 4EH, United Kingdom","","",""
"LovelyPubs","","","B60 3","The Queen's Head","Sugarbrook Lane, Bromsgrove, B60 3, United Kingdom","","",""
"LovelyPubs","","","B49 5QF","The Moat House","Birmingham Road, Alcester, B49 5QF, United Kingdom","","",""
"LovelyPubs","","","CV37 7RJ","Baraset Barn","Pimlico Lane, Stratford upon Avon, CV37 7RJ, United Kingdom","","",""
