site,lat,lng,zip,name,address,phone,email,web
"SlugandLettuce","","","RG14 5AN","Slug & Lettuce Newbury","1-3 Wharf Street, Newbury, Berkshire, RG14 5AN","","",""
"SlugandLettuce","","","OX1 1AY","Slug & Lettuce Oxford","1 Oxford Castle, Oxford, Oxfordshire, OX1 1AY","","",""
"SlugandLettuce","","","TW9 1TJ","Slug & Lettuce Richmond","Riverside House, Richmond, Surrey, TW9 1TJ","","",""
"SlugandLettuce","","","RG1 2AG","Slug & Lettuce Riverside","The Riverside Level, Reading, Berkshire, RG1 2AG","","",""
"SlugandLettuce","","","SO14 7FG","Slug & Lettuce Southampton","103â€“105 Above Bar Street, Southampton, Hampshire, SO14 7FG","","",""
"SlugandLettuce","","","TW18 4SU","Slug & Lettuce Staines","15â€“18 Clarence Street, Staines, Surrey, TW18 4SU","","",""
"SlugandLettuce","","","SM1 1DJ","Slug & Lettuce Sutton - London","33 - 35 High Street, Sutton, Surrey, SM1 1DJ","","",""
"SlugandLettuce","","","GU21 6HX","Slug & Lettuce Woking","5â€“7 Chobham Road, Woking, Surrey, GU21 6HX","","",""
"SlugandLettuce","","","BN11 1BJ","Slug & Lettuce Worthing","20 Chapel Road, Worthing, West Sussex, BN11 1BJ","","",""
"SlugandLettuce","","","BA1 2EE","Slug & Lettuce Bath","5â€“6 Edgar Buildings, Bath, Somerset, BA1 2EE","","",""
"SlugandLettuce","","","BS1 1UB","Slug & Lettuce Bristol City Centre","26â€“28 St Nicholas Street, Bristol, Bristol, BS1 1UB","","",""
"SlugandLettuce","","","BS1 5TY","Slug & Lettuce Bristol Harbourside","Explore Lane, Bristol - Harbourside, Avon, BS1 5TY","","",""
"SlugandLettuce","","","TR7 1ER","Slug & Lettuce Newquay","11-19 Gover Lane, Newquay, Cornwall, TR7 1ER","","",""
"SlugandLettuce","","","PL1 2EU","Slug & Lettuce Plymouth","Berkeley Square, Plymouth, Devon, PL1 2EU","","",""
"SlugandLettuce","","","BH15 1AB","Slug & Lettuce Poole","35â€“37 High Street, Poole, Dorset, BH15 1AB","","",""
"SlugandLettuce","","","DT4 8EU","Slug & Lettuce Weymouth","55-57 St Thomas Street, Weymouth, Dorset, DT4 8EU","","",""
"SlugandLettuce","","","EH2 4JN","Slug & Lettuce Edinburgh George Street","113-115 George Street, Edinburgh, Midlothian, EH2 4JN","","",""
"SlugandLettuce","","","EH1 3BN","Slug & Lettuce Edinburgh Omni Centre","Unit 8, Edinburgh, Omni Centre, Midlothian, EH1 3BN","","",""
"SlugandLettuce","","","G2 5NE","Slug & Lettuce Glasgow","150 St Vincent Street, Glasgow, Lanarkshire, G2 5NE","","",""
"SlugandLettuce","","","LS1 5DA","Slug & Lettuce Boar Lane","24-28 Boar Lane, Leeds - Boar Lane, Yorkshire, LS1 5DA","","",""
"SlugandLettuce","","","DN1 3PB","Slug & Lettuce Doncaster","53-54 Hall Gate, Doncaster, South Yorkshire, DN1 3PB","","",""
"SlugandLettuce","","","HD1 2QT","Slug & Lettuce Huddersfield","40-44 King Street, Huddersfield, West Yorkshire, HD1 2QT","","",""
"SlugandLettuce","","","LS1 5HU","Slug & Lettuce Leeds","14 Park Row, Leeds - Park Row, West Yorkshire, LS1 5HU","","",""
"SlugandLettuce","","","S1 2GT","Slug & Lettuce Sheffield","18 Holly Street, Sheffield, 0114 2536521, S1 2GT","","",""
"SlugandLettuce","","","YO1 9QU","Slug & Lettuce York Riverside","1â€“1A Low Ousegate, York Riverside, Yorkshire, YO1 9QU","","",""
"SlugandLettuce","","","YO1 8AD","Slug & Lettuce York","22â€“26 Back Swinegate, York, North Yorkshire, YO1 8AD","","",""
"SlugandLettuce","","","CF10 1FA","Slug & Lettuce Cardiff Central","84-86 St. Mary Street, Cardiff Central, Glamorgan, CF10 1FA","","",""
"SlugandLettuce","","","CF10 3FA","Slug & Lettuce Cardiff","The Friary Centre, Cardiff, Cardiff, CF10 3FA","","",""
"SlugandLettuce","","","SA1 3PP","Slug & Lettuce Swansea","1 - 4 Caer Street, Swansea, Swansea, SA1 3PP","","",""
